request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay IDR 15656000 today.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay ZAR 6670 today.
request_28,1302.40,affordable_with_plan,installments,2024-06-21:73.18|2024-07-19:73.18|2024-08-16:73.18|2024-09-13:73.18|2024-10-11:73.18|2024-11-08:73.18|2024-12-06:73.18|2025-01-03:73.18|2025-01-31:73.18|2025-02-28:73.18|2025-03-28:73.18|2025-04-25:73.18|2025-05-23:73.18|2025-06-20:73.18|2025-07-18:73.18|2025-08-15:73.18|2025-09-12:73.18|2025-10-10:73.18|2025-11-07:73.18|2025-12-05:73.18|2026-01-02:73.18,2024-08-15,none,Use installments starting 2024-06-21.
request_29,51524,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,Pay ZAR 51524 today.
request_30,775.20,affordable_now,full_payment,2026-04-06:775.20,2026-04-06,none,Pay USD 775.20 today.
request_31,18164000,affordable_with_plan,installments,2024-09-10:1020643.81|2024-10-08:1020643.81|2024-11-05:1020643.81|2024-12-03:1020643.81|2024-12-31:1020643.81|2025-01-28:1020643.81|2025-02-25:1020643.81|2025-03-25:1020643.81|2025-04-22:1020643.81|2025-05-20:1020643.81|2025-06-17:1020643.81|2025-07-15:1020643.81|2025-08-12:1020643.81|2025-09-09:1020643.81|2025-10-07:1020643.81|2025-11-04:1020643.81|2025-12-02:1020643.81|2025-12-30:1020643.81|2026-01-27:1020643.81|2026-02-24:1020643.81|2026-03-24:1020643.81,2024-11-15,none,Use installments starting 2024-09-10.
request_32,40018,affordable_with_plan,installments,2025-02-19:2934.65|2025-03-21:2934.65|2025-04-20:2934.65|2025-05-20:2934.65|2025-06-19:2934.65|2025-07-19:2934.65|2025-08-18:2934.65|2025-09-17:2934.65|2025-10-17:2934.65|2025-11-16:2934.65|2025-12-16:2934.65|2026-01-15:2934.65|2026-02-14:2934.65|2026-03-16:2934.65|2026-04-15:2934.65,2025-04-15,none,Use installments starting 2025-02-19.
request_33,118000,affordable_with_plan,installments,2026-01-07:7473.33|2026-02-07:7473.33|2026-03-10:7473.33|2026-04-10:7473.33|2026-05-11:7473.33|2026-06-11:7473.33|2026-07-12:7473.33|2026-08-12:7473.33|2026-09-12:7473.33|2026-10-13:7473.33|2026-11-13:7473.33|2026-12-14:7473.33|2027-01-14:7473.33|2027-02-14:7473.33|2027-03-17:7473.33|2027-04-17:7473.33|2027-05-18:7473.33|2027-06-18:7473.33,2026-03-15,none,Use installments starting 2026-01-07.
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay INR 129400 today.
request_35,212000,affordable_with_plan,installments,2025-11-06:15546.67|2025-12-06:15546.67|2026-01-05:15546.67|2026-02-04:15546.67|2026-03-06:15546.67|2026-04-05:15546.67|2026-05-05:15546.67|2026-06-04:15546.67|2026-07-04:15546.67|2026-08-03:15546.67|2026-09-02:15546.67|2026-10-02:15546.67|2026-11-01:15546.67|2026-12-01:15546.67|2026-12-31:15546.67,2026-01-15,none,Use installments starting 2025-11-06.
request_36,3954,affordable_with_plan,installments,2026-07-17:250.42|2026-08-17:250.42|2026-09-17:250.42|2026-10-18:250.42|2026-11-18:250.42|2026-12-19:250.42|2027-01-19:250.42|2027-02-19:250.42|2027-03-22:250.42|2027-04-22:250.42|2027-05-23:250.42|2027-06-23:250.42|2027-07-24:250.42|2027-08-24:250.42|2027-09-24:250.42|2027-10-25:250.42|2027-11-25:250.42|2027-12-26:250.42,2026-09-15,none,Use installments starting 2026-07-17.
request_37,14649000,affordable_with_plan,installments,2024-03-05:823134.29|2024-04-02:823134.29|2024-04-30:823134.29|2024-05-28:823134.29|2024-06-25:823134.29|2024-07-23:823134.29|2024-08-20:823134.29|2024-09-17:823134.29|2024-10-15:823134.29|2024-11-12:823134.29|2024-12-10:823134.29|2025-01-07:823134.29|2025-02-04:823134.29|2025-03-04:823134.29|2025-04-01:823134.29|2025-04-29:823134.29|2025-05-27:823134.29|2025-06-24:823134.29|2025-07-22:823134.29|2025-08-19:823134.29|2025-09-16:823134.29,2024-05-15,none,Use installments starting 2024-03-05.
request_38,971.30,affordable_with_plan,installments,2025-08-10:71.23|2025-09-09:71.23|2025-10-09:71.23|2025-11-08:71.23|2025-12-08:71.23|2026-01-07:71.23|2026-02-06:71.23|2026-03-08:71.23|2026-04-07:71.23|2026-05-07:71.23|2026-06-06:71.23|2026-07-06:71.23|2026-08-05:71.23|2026-09-04:71.23|2026-10-04:71.23,2025-10-15,none,Use installments starting 2025-08-10.
request_39,208600,affordable_with_plan,installments,2026-04-11:13211.33|2026-05-12:13211.33|2026-06-12:13211.33|2026-07-13:13211.33|2026-08-13:13211.33|2026-09-13:13211.33|2026-10-14:13211.33|2026-11-14:13211.33|2026-12-15:13211.33|2027-01-15:13211.33|2027-02-15:13211.33|2027-03-18:13211.33|2027-04-18:13211.33|2027-05-19:13211.33|2027-06-19:13211.33|2027-07-20:13211.33|2027-08-20:13211.33|2027-09-20:13211.33,2026-06-15,none,Use installments starting 2026-04-11.
request_40,1290.30,affordable_with_plan,installments,2024-06-20:72.50|2024-07-18:72.50|2024-08-15:72.50|2024-09-12:72.50|2024-10-10:72.50|2024-11-07:72.50|2024-12-05:72.50|2025-01-02:72.50|2025-01-30:72.50|2025-02-27:72.50|2025-03-27:72.50|2025-04-24:72.50|2025-05-22:72.50|2025-06-19:72.50|2025-07-17:72.50|2025-08-14:72.50|2025-09-11:72.50|2025-10-09:72.50|2025-11-06:72.50|2025-12-04:72.50|2026-01-01:72.50,2024-08-15,none,Use installments starting 2024-06-20.
request_41,38760000,affordable_with_plan,installments,2025-11-03:2842400|2025-12-03:2842400|2026-01-02:2842400|2026-02-01:2842400|2026-03-03:2842400|2026-04-02:2842400|2026-05-02:2842400|2026-06-01:2842400|2026-07-01:2842400|2026-07-31:2842400|2026-08-30:2842400|2026-09-29:2842400|2026-10-29:2842400|2026-11-28:2842400|2026-12-28:2842400,2026-01-15,none,Use installments starting 2025-11-03.
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Pay INR 52100 today.
